Epoch: 69 |train loss: 0.0427 |test accuracy: 0.99
Epoch: 69 |train loss: 0.0107 |test accuracy: 0.99
Epoch: 69 |train loss: 0.0224 |test accuracy: 0.99
Epoch: 70 |train loss: 0.0093 |test accuracy: 0.99
Epoch: 70 |train loss: 0.0286 |test accuracy: 0.99
Epoch: 70 |train loss: 0.0302 |test accuracy: 0.99
Epoch: 70 |train loss: 0.0104 |test accuracy: 0.99
Epoch: 70 |train loss: 0.0126 |test accuracy: 0.99
Epoch: 71 |train loss: 0.0209 |test accuracy: 0.99
Epoch: 71 |train loss: 0.0429 |test accuracy: 0.99
Epoch: 71 |train loss: 0.0078 |test accuracy: 0.99
Epoch: 71 |train loss: 0.0223 |test accuracy: 0.99
Epoch: 71 |train loss: 0.0423 |test accuracy: 0.99
Epoch: 72 |train loss: 0.0057 |test accuracy: 0.99
Epoch: 72 |train loss: 0.0122 |test accuracy: 0.99
Epoch: 72 |train loss: 0.0042 |test accuracy: 0.99
Epoch: 72 |train loss: 0.0110 |test accuracy: 0.99
Epoch: 72 |train loss: 0.0149 |test accuracy: 0.99
Epoch: 73 |train loss: 0.0080 |test accuracy: 0.99
Epoch: 73 |train loss: 0.0224 |test accuracy: 0.99
Epoch: 73 |train loss: 0.0304 |test accuracy: 0.99
Epoch: 73 |train loss: 0.0080 |test accuracy: 0.99
Epoch: 73 |train loss: 0.0208 |test accuracy: 0.99
Epoch: 74 |train loss: 0.0218 |test accuracy: 0.99
Epoch: 74 |train loss: 0.0223 |test accuracy: 0.99
Epoch: 74 |train loss: 0.0177 |test accuracy: 0.99
Epoch: 74 |train loss: 0.0115 |test accuracy: 0.99
Epoch: 74 |train loss: 0.0147 |test accuracy: 0.99
Epoch: 75 |train loss: 0.0118 |test accuracy: 0.99
Epoch: 75 |train loss: 0.0205 |test accuracy: 0.99
Epoch: 75 |train loss: 0.0062 |test accuracy: 0.99
Epoch: 75 |train loss: 0.0475 |test accuracy: 0.99
Epoch: 75 |train loss: 0.0279 |test accuracy: 0.99
Epoch: 76 |train loss: 0.0102 |test accuracy: 0.99
Epoch: 76 |train loss: 0.0193 |test accuracy: 0.99
Epoch: 76 |train loss: 0.0153 |test accuracy: 0.99
Epoch: 76 |train loss: 0.0155 |test accuracy: 0.99
Epoch: 76 |train loss: 0.0136 |test accuracy: 0.99
Epoch: 77 |train loss: 0.0130 |test accuracy: 0.99
Epoch: 77 |train loss: 0.0128 |test accuracy: 0.99
Epoch: 77 |train loss: 0.0171 |test accuracy: 0.99
Epoch: 77 |train loss: 0.0071 |test accuracy: 0.99
Epoch: 77 |train loss: 0.0336 |test accuracy: 0.99
Epoch: 78 |train loss: 0.0220 |test accuracy: 0.99
Epoch: 78 |train loss: 0.0157 |test accuracy: 0.99
Epoch: 78 |train loss: 0.0080 |test accuracy: 0.99
Epoch: 78 |train loss: 0.0153 |test accuracy: 0.99
Epoch: 78 |train loss: 0.0475 |test accuracy: 0.99
Epoch: 79 |train loss: 0.0052 |test accuracy: 0.99
Epoch: 79 |train loss: 0.0148 |test accuracy: 0.99
Epoch: 79 |train loss: 0.0101 |test accuracy: 0.99
Epoch: 79 |train loss: 0.0037 |test accuracy: 0.99
Epoch: 79 |train loss: 0.0096 |test accuracy: 0.99
Epoch: 80 |train loss: 0.0142 |test accuracy: 0.99
Epoch: 80 |train loss: 0.0445 |test accuracy: 0.99
Epoch: 80 |train loss: 0.0096 |test accuracy: 0.99
Epoch: 80 |train loss: 0.0126 |test accuracy: 0.99
Epoch: 80 |train loss: 0.0212 |test accuracy: 0.99
Epoch: 81 |train loss: 0.0624 |test accuracy: 0.99
Epoch: 81 |train loss: 0.0286 |test accuracy: 0.99
Epoch: 81 |train loss: 0.0268 |test accuracy: 0.99
Epoch: 81 |train loss: 0.0565 |test accuracy: 0.99
Epoch: 81 |train loss: 0.0059 |test accuracy: 0.99
Epoch: 82 |train loss: 0.0092 |test accuracy: 0.99
Epoch: 82 |train loss: 0.0108 |test accuracy: 0.99
Epoch: 82 |train loss: 0.0146 |test accuracy: 0.99
Epoch: 82 |train loss: 0.0101 |test accuracy: 0.99
Epoch: 82 |train loss: 0.0319 |test accuracy: 0.99
Epoch: 83 |train loss: 0.0174 |test accuracy: 0.99
Epoch: 83 |train loss: 0.0094 |test accuracy: 0.99
Epoch: 83 |train loss: 0.0225 |test accuracy: 0.99
Epoch: 83 |train loss: 0.0292 |test accuracy: 0.99
Epoch: 83 |train loss: 0.0278 |test accuracy: 0.99
Epoch: 84 |train loss: 0.0099 |test accuracy: 0.99
Epoch: 84 |train loss: 0.0148 |test accuracy: 0.99
Epoch: 84 |train loss: 0.0083 |test accuracy: 0.99
Epoch: 84 |train loss: 0.0075 |test accuracy: 0.99
Epoch: 84 |train loss: 0.0114 |test accuracy: 0.99
Epoch: 85 |train loss: 0.0072 |test accuracy: 0.99
Epoch: 85 |train loss: 0.0072 |test accuracy: 0.99
Epoch: 85 |train loss: 0.0335 |test accuracy: 0.99
Epoch: 85 |train loss: 0.0133 |test accuracy: 0.99
Epoch: 85 |train loss: 0.0112 |test accuracy: 0.99
Epoch: 86 |train loss: 0.0348 |test accuracy: 0.99
Epoch: 86 |train loss: 0.0600 |test accuracy: 0.99
Epoch: 86 |train loss: 0.0124 |test accuracy: 0.99
Epoch: 86 |train loss: 0.0060 |test accuracy: 0.99
Epoch: 86 |train loss: 0.0151 |test accuracy: 0.99
Epoch: 87 |train loss: 0.0200 |test accuracy: 0.99
Epoch: 87 |train loss: 0.0127 |test accuracy: 0.99
Epoch: 87 |train loss: 0.0252 |test accuracy: 0.99
Epoch: 87 |train loss: 0.0096 |test accuracy: 0.99
Epoch: 87 |train loss: 0.0297 |test accuracy: 0.99
Epoch: 88 |train loss: 0.0111 |test accuracy: 0.99
Epoch: 88 |train loss: 0.0076 |test accuracy: 0.99
Epoch: 88 |train loss: 0.0167 |test accuracy: 0.99
Epoch: 88 |train loss: 0.0118 |test accuracy: 0.99
Epoch: 88 |train loss: 0.0069 |test accuracy: 0.99
Epoch: 89 |train loss: 0.0080 |test accuracy: 0.99
Epoch: 89 |train loss: 0.0130 |test accuracy: 0.99
Epoch: 89 |train loss: 0.0096 |test accuracy: 0.99
Epoch: 89 |train loss: 0.0063 |test accuracy: 0.99
Epoch: 89 |train loss: 0.0095 |test accuracy: 0.99
Epoch: 90 |train loss: 0.0046 |test accuracy: 0.99
